frame,x,y
1,158,313
2,158,313
3,158,313
4,158,313
5,158,313
6,158,313
7,158,313
8,158,313
9,158,313
10,158,313
11,158,313
12,158,313
13,158,313
14,158,313
15,157,314
16,158,314
17,158,314
18,158,314
19,157,314
20,157,313
21,158,314
22,158,314
23,158,314
24,158,314
25,158,313
26,158,313
27,158,313
28,158,313
29,158,314
30,158,314
31,158,313
32,158,313
33,158,313
34,157,314
35,157,314
36,157,314
37,158,313
38,158,313
39,158,314
40,157,314
41,157,314
42,157,313
43,158,314
44,157,314
45,157,314
46,157,314
47,158,314
48,157,314
49,158,313
50,157,314
51,157,314
52,157,314
53,158,313
54,158,313
55,158,313
56,158,313
57,158,313
58,158,313
59,157,314
60,158,314
61,158,313
62,158,313
63,158,313
64,158,313
65,158,313
66,158,313
67,158,313
68,158,313
69,158,313
70,158,313
71,158,313
72,158,313
73,158,313
74,158,313
75,158,313
76,158,313
77,158,313
78,158,313
79,158,313
80,158,314
81,158,314
82,158,314
83,158,313
84,158,313
85,158,313
86,158,313
87,158,313
88,158,313
89,158,313
90,158,313
91,158,313
92,158,313
93,158,313
94,158,313
95,158,313
96,158,313
97,158,313
98,158,313
99,158,313
100,158,313
101,158,313
102,158,313
103,158,313
104,158,313
105,158,313
106,157,314
107,157,314
108,157,314
109,158,313
110,158,313
111,158,313
112,158,313
113,158,313
114,158,313
115,158,313
116,158,313
117,158,313
118,158,313
119,158,313
120,158,313
121,158,313
122,158,313
123,158,313
124,158,313
125,158,313
126,158,313
127,158,313
128,158,313
129,158,313
130,158,313
131,157,314
132,157,314
133,158,313
134,158,313
135,158,313
136,158,313
137,158,313
138,158,313
139,158,314
140,158,313
141,157,314
142,157,314
143,157,314
144,157,314
145,158,313
146,158,313
147,158,313
148,158,313
149,158,313
150,158,313
151,157,314
152,157,314
153,158,314
154,158,313
155,157,314
156,158,313
157,158,313
158,158,313
159,158,313
160,158,313
161,158,313
162,158,313
163,157,314
164,158,314
165,157,314
166,158,314
167,158,314
168,158,314
169,158,313
170,158,313
171,158,313
172,158,313
173,158,313
174,157,314
175,157,314
176,157,314
177,158,313
178,158,313
179,158,313
180,158,313
181,158,313
182,158,313
183,158,313
184,158,313
185,157,314
186,157,314
187,157,314
188,158,313
189,158,313
190,158,313
191,158,313
192,158,314
193,158,313
194,158,313
195,158,313
196,158,313
197,158,313
198,158,313
199,157,314
200,157,314
201,157,314
202,157,314
203,158,313
204,157,314
205,158,313
206,158,313
207,158,313
208,157,314
209,157,314
210,158,313
211,158,313
212,158,313
213,157,314
214,157,314
215,157,314
216,157,314
217,158,313
218,158,313
219,157,314
220,157,314
221,157,314
222,157,314
223,158,313
224,158,313
225,158,313
226,158,313
227,158,313
228,158,313
229,158,313
230,158,313
231,158,313
232,157,314
233,158,313
234,158,313
235,158,313
236,158,313
237,158,313
238,157,314
239,157,314
240,157,314
241,158,313
242,158,313
243,158,313
244,158,313
245,158,313
246,158,313
247,157,314
248,157,314
249,157,314
250,157,314
251,157,314
252,158,313
253,158,313
254,157,314
255,158,313
256,157,314
257,157,314
258,158,314
259,158,314
260,158,314
261,158,314
262,158,314
263,157,314
264,158,314
265,158,313
266,158,313
267,158,313
268,158,313
269,158,313
270,157,314
271,157,314
272,157,314
273,157,314
274,158,314
275,158,314
276,157,314
277,158,313
278,158,313
279,158,313
280,158,313
281,158,313
282,158,313
283,158,313
284,158,313
285,158,313
286,158,313
287,158,313
288,158,314
289,158,313
290,158,313
291,157,314
292,158,313
293,158,314
294,158,313
295,158,313
296,158,313
297,158,313
298,158,313
299,158,313
300,158,313
301,158,313
302,158,313
303,158,313
304,157,314
305,157,314
306,157,314
307,158,314
308,158,314
309,157,314
310,157,314
311,157,314
312,157,314
313,158,313
314,158,313
