frame,x,y
1,206,211
2,206,211
3,205,211
4,205,211
5,205,211
6,205,211
7,205,211
8,205,211
9,205,211
10,206,210
11,205,211
12,205,211
13,205,211
14,205,211
15,205,211
16,205,211
17,205,211
18,205,211
19,205,211
20,206,211
21,205,211
22,205,211
23,205,211
24,205,211
26,205,211
27,205,211
28,205,211
29,205,211
30,205,211
31,205,211
32,205,211
33,205,211
34,205,211
35,205,211
36,205,211
37,205,211
38,205,211
39,205,211
40,205,211
41,205,210
42,205,211
43,206,211
44,205,211
45,205,211
46,206,210
47,206,210
48,206,210
49,206,210
50,206,210
51,205,211
52,206,210
53,206,210
54,206,210
55,206,211
56,206,210
57,206,210
58,205,211
59,205,211
60,205,211
61,205,211
62,205,211
63,205,211
64,205,211
65,205,211
66,205,211
67,205,211
68,205,211
69,205,211
70,205,211
71,205,211
72,205,211
73,205,211
74,206,211
75,206,211
76,206,211
77,206,211
78,206,211
79,206,211
80,205,211
81,205,211
82,205,211
83,205,211
84,205,211
85,205,211
86,205,211
87,205,211
88,205,211
89,205,211
90,205,211
91,205,211
92,205,211
93,205,211
94,205,211
95,205,211
96,205,211
97,205,211
98,205,211
99,205,211
100,205,211
101,206,211
102,206,211
103,206,211
104,206,211
105,206,211
106,206,211
107,206,211
108,206,211
109,206,211
110,205,211
111,206,210
112,206,211
113,206,211
114,206,210
115,206,210
116,206,210
117,206,210
118,206,210
119,206,210
120,206,210
121,205,211
122,205,211
123,205,211
124,205,211
125,205,211
126,205,211
127,205,211
128,205,211
129,205,211
130,205,211
131,205,210
132,205,211
133,205,211
134,205,211
135,205,211
136,205,211
137,205,211
138,205,211
139,205,211
140,205,211
141,205,211
142,205,211
143,206,211
144,206,211
145,206,211
146,205,211
147,206,211
148,207,211
149,207,211
152,210,211
153,211,211
154,211,211
155,212,211
156,213,211
157,214,211
158,215,211
159,216,211
160,217,211
161,218,211
162,219,211
164,221,211
165,222,211
166,223,211
167,223,211
169,226,211
170,227,211
171,228,211
172,229,211
173,231,211
174,232,210
175,232,210
176,234,211
177,235,210
178,235,210
179,236,210
180,237,210
183,241,211
184,242,210
186,244,210
187,246,210
188,246,210
189,248,210
190,248,210
191,250,210
193,251,210
194,253,210
195,254,210
196,255,210
197,256,210
198,257,210
199,258,210
200,258,210
201,260,210
202,261,210
203,264,209
204,265,210
205,269,210
207,272,209
208,275,209
209,277,209
210,281,210
211,281,210
212,284,210
213,286,210
214,288,209
216,291,209
220,296,209
222,298,209
223,298,209
224,300,210
226,301,209
228,303,210
233,307,210
234,307,210
239,311,210
240,312,210
241,312,209
243,314,209
248,319,209
249,319,210
250,319,209
251,321,210
252,322,210
255,325,209
256,325,210
258,326,210
260,328,210
261,327,210
262,327,210
263,327,210
265,326,210
266,326,210
267,325,210
268,325,210
269,325,210
270,324,210
271,323,210
272,323,210
273,322,210
274,321,210
275,319,210
276,319,211
277,317,210
278,317,210
279,315,210
280,313,210
281,312,210
283,308,210
284,307,210
285,307,211
286,305,211
287,303,210
288,302,210
289,300,210
290,299,211
291,297,211
292,297,210
293,295,210
295,292,211
296,291,210
297,289,211
298,288,211
299,286,211
300,286,210
301,284,211
302,283,211
303,281,211
305,277,211
306,277,211
307,276,211
308,274,211
309,273,211
310,273,211
311,271,211
313,268,212
315,265,212
318,262,212
320,260,211
321,259,212
323,257,212
325,256,212
328,254,212
329,253,212
331,251,212
332,251,212
333,250,212
334,250,213
335,249,213
336,248,212
337,248,212
338,247,213
339,246,212
340,245,212
341,244,212
343,243,212
344,242,212
345,241,212
346,241,212
347,240,212
348,239,212
349,239,213
350,238,213
351,237,213
352,237,213
353,236,213
354,236,213
355,234,213
356,234,213
357,233,213
359,232,213
362,230,213
363,229,213
365,227,213
366,226,213
368,225,213
369,224,213
370,224,213
371,224,213
372,223,213
373,223,213
374,222,213
375,220,213
376,221,213
377,220,213
378,220,213
379,220,214
381,220,213
382,220,213
383,220,213
384,221,213
385,221,213
386,221,213
388,222,213
389,224,213
391,226,213
392,228,213
393,229,213
394,231,213
395,235,213
396,237,213
397,240,213
398,240,213
400,244,213
403,248,213
405,249,213
406,251,213
407,252,213
408,253,213
409,254,213
410,256,212
411,257,213
412,258,213
413,259,213
414,260,212
415,262,212
416,261,212
417,263,212
418,264,212
419,265,212
420,266,212
422,268,212
424,270,212
425,270,212
426,271,212
427,272,212
428,273,212
429,274,212
430,275,212
431,276,212
432,276,212
433,278,212
434,279,212
436,281,212
437,282,212
438,283,212
439,284,212
441,287,212
444,291,212
445,293,212
446,293,212
449,297,212
450,299,212
451,301,211
452,303,211
453,304,212
454,306,212
455,307,211
456,309,212
458,312,211
459,314,211
465,323,211
467,326,211
469,328,211
470,331,211
471,333,212
472,335,211
473,336,212
474,339,211
475,339,211
476,342,211
477,344,211
478,347,211
479,348,211
480,350,211
481,352,211
483,355,211
488,362,211
489,363,211
490,364,211
491,366,211
492,367,211
493,368,211
494,370,211
495,371,211
496,372,211
497,372,211
499,372,211
502,373,211
503,373,211
504,372,211
505,372,210
506,372,211
507,372,211
508,372,211
510,371,211
511,370,211
512,370,211
514,370,211
516,370,211
519,369,211
520,369,211
521,369,211
522,369,211
524,368,211
526,369,211
527,368,211
528,368,212
529,368,211
530,368,211
531,368,211
532,367,211
533,367,211
534,367,211
535,366,211
536,366,211
537,366,211
538,366,211
540,365,212
541,364,212
542,363,212
543,363,211
544,362,211
545,361,212
546,359,212
548,356,212
552,345,212
553,344,211
554,340,211
555,339,212
