,frame_id,Timestamp
0,1,2025-12-12 10:57:21.543763
1,2,2025-12-12 10:57:21.905480
2,3,2025-12-12 10:57:21.922899
3,4,2025-12-12 10:57:21.933737
4,5,2025-12-12 10:57:21.942864
5,6,2025-12-12 10:57:21.952275
6,7,2025-12-12 10:57:21.959273
7,8,2025-12-12 10:57:21.968167
8,9,2025-12-12 10:57:21.974140
9,10,2025-12-12 10:57:21.983722
10,11,2025-12-12 10:57:21.989697
11,12,2025-12-12 10:57:21.996710
12,13,2025-12-12 10:57:22.002715
13,14,2025-12-12 10:57:22.013711
14,15,2025-12-12 10:57:22.020710
15,16,2025-12-12 10:57:22.026765
16,17,2025-12-12 10:57:22.033852
17,18,2025-12-12 10:57:22.040360
18,19,2025-12-12 10:57:22.048460
19,20,2025-12-12 10:57:22.055439
20,21,2025-12-12 10:57:22.063333
21,22,2025-12-12 10:57:22.069666
22,23,2025-12-12 10:57:22.076200
23,24,2025-12-12 10:57:22.082021
24,25,2025-12-12 10:57:22.092377
25,26,2025-12-12 10:57:22.099184
26,27,2025-12-12 10:57:22.105195
27,28,2025-12-12 10:57:22.112571
28,29,2025-12-12 10:57:22.118758
29,30,2025-12-12 10:57:22.125895
30,31,2025-12-12 10:57:22.134154
31,32,2025-12-12 10:57:22.142271
32,33,2025-12-12 10:57:22.151213
33,34,2025-12-12 10:57:22.158227
34,35,2025-12-12 10:57:22.166086
35,36,2025-12-12 10:57:22.173084
36,37,2025-12-12 10:57:22.181062
37,38,2025-12-12 10:57:22.188370
38,39,2025-12-12 10:57:22.196526
39,40,2025-12-12 10:57:22.204083
40,41,2025-12-12 10:57:22.212165
41,42,2025-12-12 10:57:22.220175
42,43,2025-12-12 10:57:22.226714
43,44,2025-12-12 10:57:22.235193
44,45,2025-12-12 10:57:22.242229
45,46,2025-12-12 10:57:22.251400
46,47,2025-12-12 10:57:22.258798
47,48,2025-12-12 10:57:22.267045
48,49,2025-12-12 10:57:22.273737
49,50,2025-12-12 10:57:22.281251
50,51,2025-12-12 10:57:22.287324
51,52,2025-12-12 10:57:22.293844
52,53,2025-12-12 10:57:22.304947
53,54,2025-12-12 10:57:22.315787
54,55,2025-12-12 10:57:22.325366
55,56,2025-12-12 10:57:22.335537
56,57,2025-12-12 10:57:22.341052
57,58,2025-12-12 10:57:22.350311
58,59,2025-12-12 10:57:22.357310
59,60,2025-12-12 10:57:22.367796
60,61,2025-12-12 10:57:22.373804
61,62,2025-12-12 10:57:22.383167
62,63,2025-12-12 10:57:22.390182
63,64,2025-12-12 10:57:22.399112
64,65,2025-12-12 10:57:22.405111
65,66,2025-12-12 10:57:22.412110
66,67,2025-12-12 10:57:22.419121
67,68,2025-12-12 10:57:22.425417
68,69,2025-12-12 10:57:22.432891
69,70,2025-12-12 10:57:22.439402
70,71,2025-12-12 10:57:22.447171
71,72,2025-12-12 10:57:22.454931
72,73,2025-12-12 10:57:22.462607
73,74,2025-12-12 10:57:22.469585
74,75,2025-12-12 10:57:22.476593
75,76,2025-12-12 10:57:22.484071
76,77,2025-12-12 10:57:22.491543
77,78,2025-12-12 10:57:22.499541
78,79,2025-12-12 10:57:22.506538
79,80,2025-12-12 10:57:22.514141
80,81,2025-12-12 10:57:22.521146
81,82,2025-12-12 10:57:22.526792
82,83,2025-12-12 10:57:22.534812
83,84,2025-12-12 10:57:22.542329
84,85,2025-12-12 10:57:22.549329
85,86,2025-12-12 10:57:22.556327
86,87,2025-12-12 10:57:22.562773
87,88,2025-12-12 10:57:22.567778
88,89,2025-12-12 10:57:22.578990
89,90,2025-12-12 10:57:22.586849
90,91,2025-12-12 10:57:22.592911
91,92,2025-12-12 10:57:22.602144
92,93,2025-12-12 10:57:22.610420
93,94,2025-12-12 10:57:22.617417
94,95,2025-12-12 10:57:22.623432
95,96,2025-12-12 10:57:22.629796
96,97,2025-12-12 10:57:22.635794
97,98,2025-12-12 10:57:22.641310
98,99,2025-12-12 10:57:22.649307
99,100,2025-12-12 10:57:22.655691
100,101,2025-12-12 10:57:22.661557
101,102,2025-12-12 10:57:22.667556
102,103,2025-12-12 10:57:22.672563
103,104,2025-12-12 10:57:22.678558
104,105,2025-12-12 10:57:22.684557
105,106,2025-12-12 10:57:22.690556
106,107,2025-12-12 10:57:22.697557
107,108,2025-12-12 10:57:22.703635
108,109,2025-12-12 10:57:22.716655
109,110,2025-12-12 10:57:22.727097
110,111,2025-12-12 10:57:22.735201
111,112,2025-12-12 10:57:22.741424
112,113,2025-12-12 10:57:22.750484
113,114,2025-12-12 10:57:22.756483
114,115,2025-12-12 10:57:22.762482
115,116,2025-12-12 10:57:22.768491
116,117,2025-12-12 10:57:22.780486
117,118,2025-12-12 10:57:22.789484
118,119,2025-12-12 10:57:22.796816
119,120,2025-12-12 10:57:22.803337
120,121,2025-12-12 10:57:22.811336
121,122,2025-12-12 10:57:22.817533
122,123,2025-12-12 10:57:22.823053
123,124,2025-12-12 10:57:22.829393
124,125,2025-12-12 10:57:22.837494
125,126,2025-12-12 10:57:22.843534
126,127,2025-12-12 10:57:22.849526
127,128,2025-12-12 10:57:22.857524
128,129,2025-12-12 10:57:22.864626
129,130,2025-12-12 10:57:22.870451
130,131,2025-12-12 10:57:22.876414
131,132,2025-12-12 10:57:22.882623
132,133,2025-12-12 10:57:22.890623
133,134,2025-12-12 10:57:22.897623
