frame,x,y
1,296,210
2,295,210
3,296,210
4,295,211
5,296,210
6,295,211
7,296,210
8,296,210
9,296,210
10,296,210
11,296,210
12,296,210
13,295,210
14,295,210
15,295,210
16,295,211
17,295,211
18,295,211
19,295,210
20,295,211
21,295,211
22,295,211
23,296,211
24,295,211
25,296,210
26,296,210
27,296,210
28,296,210
29,296,210
30,295,211
32,295,210
33,295,210
36,295,211
37,295,210
38,296,211
39,295,210
40,295,210
41,295,210
42,295,210
43,295,210
44,295,210
45,295,210
46,295,210
47,295,210
48,295,210
49,295,210
50,295,210
51,295,210
52,295,210
53,295,210
54,295,210
55,295,210
56,295,210
57,295,210
58,295,210
59,295,210
60,295,211
61,295,210
62,295,210
63,295,210
64,295,210
65,296,210
66,295,210
67,295,210
68,295,210
69,295,210
70,295,210
71,295,210
72,295,210
73,296,210
74,296,210
75,296,210
76,296,210
77,295,211
78,295,211
79,295,211
80,295,211
81,295,211
82,295,211
83,295,211
84,295,211
85,295,211
86,296,211
87,296,211
88,296,211
89,295,211
90,295,211
91,295,211
92,295,211
93,295,211
94,295,211
95,295,211
96,295,211
97,295,210
98,296,211
99,295,210
100,295,210
101,295,210
102,295,210
103,296,210
104,295,210
105,296,211
106,296,210
107,296,211
108,295,210
109,295,210
110,295,210
111,295,210
112,295,210
113,295,210
114,296,211
115,296,211
116,296,211
117,296,211
118,296,211
119,295,210
120,295,210
121,296,211
122,296,211
123,296,211
124,296,211
125,295,211
126,295,211
127,296,211
128,295,211
129,295,211
130,295,211
131,296,210
132,296,211
133,296,211
134,295,211
135,295,211
136,296,211
137,296,211
138,296,211
139,296,211
140,296,211
141,295,211
142,296,211
143,296,211
144,296,211
145,295,211
146,295,210
147,296,211
148,296,211
150,296,211
151,296,210
152,298,210
153,298,210
154,299,210
158,306,210
160,312,210
163,315,211
164,317,210
165,318,211
166,320,211
167,321,210
171,326,211
172,326,211
175,328,211
176,330,210
177,330,211
181,335,210
182,336,210
183,338,211
185,340,210
191,348,210
194,351,210
195,353,210
196,355,210
197,357,210
198,357,209
199,359,209
200,361,209
201,362,209
202,363,209
203,365,209
204,367,209
205,368,209
206,369,209
207,371,209
208,372,209
209,375,209
211,377,209
213,380,209
214,382,209
215,384,209
216,386,208
217,387,208
218,389,208
220,393,208
221,393,208
224,400,207
226,402,208
227,403,208
229,406,208
230,408,207
231,409,207
232,411,208
233,412,208
234,413,207
235,415,207
236,415,207
237,417,207
238,418,207
240,420,207
241,421,207
242,423,207
243,424,207
244,426,207
245,427,207
248,432,207
251,436,207
253,439,207
254,439,207
255,441,207
256,442,207
264,442,207
265,442,208
266,439,207
267,439,208
269,435,208
276,419,208
277,415,208
281,404,209
282,403,208
283,398,209
286,392,209
287,388,209
288,386,209
290,381,209
291,379,210
292,378,209
294,372,210
297,365,210
301,356,211
304,349,211
305,347,212
306,344,211
307,341,211
308,339,211
309,335,212
310,335,212
311,333,212
312,330,212
313,329,212
315,324,212
317,320,212
318,318,213
319,315,213
320,312,213
321,311,212
322,309,213
323,308,212
324,304,212
325,304,213
327,299,213
328,298,213
329,297,213
330,296,213
331,293,213
332,292,213
333,290,213
334,290,213
335,288,213
336,286,213
337,284,213
338,282,213
339,282,213
340,280,213
341,279,214
342,278,213
343,277,213
344,276,213
346,276,214
347,275,213
348,275,213
349,276,214
350,276,214
351,276,213
352,276,213
353,276,213
354,277,213
355,278,213
356,279,213
357,280,213
358,280,213
359,282,213
360,283,213
361,284,212
362,286,213
363,287,213
364,287,213
365,288,213
366,289,213
367,290,213
368,291,213
369,293,213
370,294,213
371,294,213
373,297,213
376,302,212
377,303,213
379,306,212
380,307,212
381,308,213
382,311,212
383,311,212
384,313,213
386,316,212
387,318,212
388,318,211
389,320,211
390,321,211
391,324,212
392,325,211
395,333,211
396,334,211
397,335,211
398,338,211
399,342,211
400,345,210
401,346,210
402,347,210
405,355,210
406,357,210
407,360,209
409,362,209
411,368,208
413,371,209
414,373,208
415,375,208
416,376,208
419,382,209
421,385,208
422,388,208
424,391,208
425,392,208
426,393,208
427,396,208
428,397,207
429,398,207
430,400,207
431,402,207
432,403,207
434,405,207
435,407,207
436,407,207
437,409,207
440,411,207
441,412,207
442,413,207
443,414,207
444,415,207
446,417,207
447,418,206
449,420,206
450,420,206
452,423,206
456,427,206
459,431,206
460,432,206
461,433,206
462,434,206
463,436,205
464,437,206
465,437,206
466,439,205
468,441,206
470,444,205
471,445,205
472,447,205
473,448,205
474,448,205
475,449,205
476,451,205
477,452,205
478,453,205
480,455,205
481,455,205
482,456,205
483,457,205
484,458,205
485,460,205
486,460,205
487,461,205
488,462,205
489,462,205
491,463,205
492,464,205
494,466,205
496,467,205
498,468,205
499,469,205
500,469,205
501,469,205
502,470,205
503,470,205
504,470,205
505,471,205
506,471,205
507,472,205
508,472,205
510,473,205
511,473,205
513,474,205
516,474,205
518,475,205
520,475,205
521,475,205
522,474,205
524,473,206
