frame,x,y
2,232,243
4,232,243
5,232,243
6,232,243
7,232,243
9,232,243
10,232,243
13,232,243
14,232,243
15,232,243
16,232,243
17,232,243
19,232,243
20,232,243
21,232,243
22,232,243
23,232,243
24,232,243
25,232,243
27,232,243
28,232,243
29,232,243
30,232,243
31,232,243
32,232,243
33,231,243
35,231,243
37,231,243
38,231,244
40,230,243
41,230,243
42,230,243
43,230,243
44,230,243
45,230,243
55,229,243
56,230,243
57,230,243
58,230,243
59,229,243
60,229,243
61,229,243
65,227,243
66,226,243
69,224,243
74,218,243
75,216,243
79,211,243
81,208,243
85,202,244
86,201,244
87,199,244
88,199,244
90,199,244
91,199,244
92,199,244
93,199,243
94,199,243
95,199,243
96,199,243
98,199,244
99,199,244
100,199,244
101,199,244
102,199,244
103,199,244
104,199,244
105,199,244
106,199,244
107,199,244
108,199,244
110,200,244
111,199,244
112,199,244
113,200,244
114,200,244
115,200,244
116,201,244
117,200,244
118,201,244
119,201,244
120,201,244
121,202,244
124,205,244
125,205,244
126,206,244
128,209,244
129,209,244
130,211,244
131,212,244
132,213,244
133,215,244
135,218,244
136,219,244
137,220,244
138,222,244
139,225,244
140,227,244
141,228,244
142,230,244
143,231,243
145,235,244
146,237,244
147,237,244
148,240,244
149,241,244
150,242,244
152,246,244
154,249,244
155,252,242
157,256,243
158,257,244
159,259,243
160,262,243
161,266,243
162,267,243
163,271,243
164,274,243
165,277,243
166,278,243
167,281,243
169,284,242
170,289,242
171,290,242
172,293,242
173,294,242
174,297,242
175,300,242
177,305,242
178,306,242
179,309,242
181,315,242
184,323,242
185,325,241
187,330,241
189,334,241
191,337,241
192,340,241
193,342,241
196,346,241
197,349,241
199,352,240
200,353,241
201,355,240
202,356,240
203,358,241
204,359,240
205,361,241
206,363,240
207,364,240
208,365,240
210,367,240
212,370,240
213,370,240
214,371,240
216,372,240
218,374,240
220,375,240
221,375,240
224,375,240
225,375,240
226,375,240
227,375,240
228,375,240
229,375,240
230,375,240
232,375,240
233,375,240
235,374,240
236,374,240
239,373,240
242,373,240
247,369,240
248,368,240
251,365,240
253,364,240
254,363,240
255,361,240
256,361,240
257,358,240
258,357,240
261,352,241
264,349,240
265,347,240
267,345,240
269,342,241
270,341,241
271,340,240
272,339,240
273,338,241
274,337,240
275,334,241
276,334,240
277,333,241
278,331,241
279,329,240
280,328,241
281,326,241
284,321,241
285,319,241
287,315,241
288,312,241
289,309,241
292,305,241
293,301,242
296,298,242
297,294,243
298,294,243
299,291,243
300,289,243
301,287,243
302,285,242
304,281,243
305,280,243
306,276,244
307,275,243
308,274,243
309,271,244
310,268,244
311,267,244
312,264,245
313,260,244
316,255,245
317,253,245
319,249,246
320,247,245
321,245,246
322,242,246
323,241,246
324,239,246
325,237,247
328,233,247
329,231,247
330,228,248
331,228,248
333,225,248
334,223,248
335,222,248
336,220,249
337,218,248
338,217,249
339,214,249
340,214,249
341,213,249
342,211,249
343,209,250
344,209,250
345,208,250
346,206,249
347,206,249
348,205,249
349,205,250
350,204,250
354,203,250
355,202,250
356,202,249
359,202,250
360,202,250
361,202,250
364,202,250
365,202,250
368,202,250
370,202,250
371,202,250
372,202,249
374,202,250
375,202,249
376,202,250
377,202,249
378,202,249
379,202,249
380,202,249
381,202,249
382,202,249
383,202,250
384,202,249
385,202,249
386,202,249
394,202,250
395,202,250
396,202,250
397,203,250
398,203,250
399,203,250
400,203,250
401,203,250
402,203,250
403,203,250
404,203,250
405,203,250
406,203,250
409,203,249
410,203,250
411,203,250
412,203,249
413,203,249
414,203,249
415,203,249
416,203,249
417,203,249
418,203,249
419,203,249
420,203,249
421,203,249
422,203,249
423,203,249
424,204,249
425,204,249
426,205,249
427,205,249
428,205,249
430,206,249
431,206,249
432,206,249
433,207,249
435,208,249
437,210,248
439,211,247
442,214,247
443,215,246
444,215,246
445,217,245
446,218,244
448,219,243
449,220,242
451,222,240
454,225,234
456,226,230
457,227,225
459,228,223
460,229,218
461,229,214
462,230,210
466,230,196
467,230,190
468,230,184
470,230,173
471,230,171
473,229,161
474,229,157
475,228,149
476,228,147
479,226,134
480,225,127
482,225,124
485,222,113
486,222,109
