frame,x,y
1,380,165
2,381,165
3,378,165
4,377,165
5,377,165
9,377,165
10,377,165
11,377,165
12,376,165
13,377,165
14,377,165
15,376,165
16,376,165
20,377,165
22,377,165
24,377,165
25,377,165
26,378,165
27,378,165
28,378,165
29,378,165
30,378,165
31,378,165
32,378,165
33,378,165
34,378,165
35,378,165
36,378,165
37,378,165
41,377,165
44,376,165
45,376,165
50,373,165
56,368,165
58,365,165
60,363,165
63,359,165
65,356,165
66,356,165
69,351,165
71,348,165
72,346,165
73,344,165
74,344,165
75,340,165
76,339,164
77,338,164
79,336,165
80,333,165
81,332,165
82,331,165
83,330,165
84,329,165
85,327,165
86,326,165
87,325,164
88,324,165
89,323,165
90,321,165
91,321,165
92,320,165
93,319,165
94,319,165
95,318,165
96,318,166
98,317,165
99,317,165
100,317,165
101,317,165
102,317,165
104,318,165
105,318,165
106,319,164
107,319,164
108,320,164
111,321,164
115,322,164
116,322,164
117,323,164
118,323,164
120,325,164
123,328,164
124,329,164
125,330,163
126,332,163
128,335,163
129,335,163
130,336,163
132,339,163
135,345,163
136,345,163
139,350,163
140,351,163
142,355,163
143,356,163
144,359,163
145,360,163
146,362,162
147,364,162
148,366,163
149,367,163
150,370,163
151,371,162
152,372,163
154,375,162
155,377,162
157,380,162
158,382,162
161,387,162
162,388,162
163,391,161
165,392,161
169,396,161
171,399,161
173,401,161
174,402,161
176,404,161
177,406,161
178,407,160
179,407,160
180,408,161
182,411,161
185,413,161
190,418,161
191,419,162
195,422,162
196,424,162
197,424,162
199,427,162
200,429,162
205,433,162
206,434,162
207,436,162
209,439,163
210,440,162
211,442,163
214,446,162
215,448,162
216,449,162
220,455,163
221,456,163
224,461,162
225,461,162
226,464,163
227,465,163
228,466,163
229,467,163
230,469,162
232,472,163
233,475,163
234,475,163
235,479,163
236,480,163
237,482,163
238,483,163
239,484,163
240,486,163
241,487,163
242,488,163
243,491,163
244,492,163
246,497,163
247,500,163
248,501,163
249,503,163
250,505,163
251,508,163
