frame,x,y
1,219,216
2,219,216
3,219,216
4,219,216
7,219,216
8,218,216
9,219,216
10,218,216
11,218,216
12,218,216
13,219,216
14,219,215
15,219,215
16,219,215
17,219,215
18,219,215
19,219,215
20,219,216
21,219,215
22,218,216
23,218,216
24,218,215
36,218,216
37,219,215
38,219,216
39,219,216
40,219,216
41,219,216
44,218,216
45,219,216
46,219,216
47,218,216
48,218,216
49,219,216
50,219,216
51,219,216
52,218,215
53,219,216
54,219,216
55,219,216
56,219,216
57,219,216
58,219,216
59,219,216
60,219,216
61,219,216
62,219,216
63,219,216
64,219,216
65,219,216
73,219,216
74,219,216
75,219,216
76,219,216
77,219,216
78,219,216
79,219,216
80,219,216
83,219,216
84,218,216
85,218,216
86,218,216
87,218,216
88,219,216
89,218,216
90,219,216
91,218,216
92,218,216
93,219,216
94,219,216
95,219,216
96,219,216
103,219,216
104,218,216
106,219,215
107,219,216
108,219,215
109,219,216
110,219,216
111,219,216
112,219,216
113,219,216
114,218,216
115,219,216
117,219,216
118,218,216
119,219,215
120,218,215
121,219,216
122,218,215
123,219,216
124,219,216
125,219,216
126,218,216
127,219,216
128,219,216
129,219,216
130,219,216
133,219,216
134,219,216
135,219,216
136,219,216
142,219,216
144,220,216
146,220,216
147,220,216
148,221,216
149,221,216
150,221,216
151,222,216
153,222,216
154,223,216
156,224,216
157,224,216
158,226,216
161,230,216
165,237,215
166,239,215
167,240,216
169,242,215
170,243,216
175,248,216
176,249,216
178,251,215
179,253,216
180,254,215
181,254,216
182,255,216
183,257,216
184,258,216
185,258,216
186,260,216
187,261,215
188,263,215
190,266,215
191,268,215
192,270,215
193,271,215
194,274,215
195,274,215
196,276,215
197,276,215
198,279,215
199,280,215
200,281,215
201,283,215
202,286,215
203,286,215
204,287,215
205,288,215
206,291,214
207,292,215
208,293,215
210,297,215
211,298,215
212,299,215
213,302,214
214,303,215
215,306,215
216,308,215
220,314,214
221,316,215
222,318,214
223,321,214
224,323,215
225,324,215
226,327,214
227,328,214
228,330,214
229,332,214
230,333,214
231,336,215
232,337,214
233,339,214
235,342,214
237,343,214
238,344,214
239,344,215
240,345,214
241,345,214
242,346,214
243,346,214
245,346,214
246,347,214
247,347,214
248,346,215
249,346,215
250,346,215
251,346,214
252,346,215
253,346,215
254,346,214
255,346,214
256,345,215
257,345,215
258,344,215
259,344,215
262,342,214
263,341,214
264,341,214
265,339,215
266,339,214
267,338,214
268,338,215
269,336,215
270,336,215
271,335,215
273,333,214
274,331,215
275,330,215
277,329,215
278,327,214
279,326,214
280,326,215
281,324,214
282,323,215
283,321,215
284,319,215
285,319,214
286,317,214
