Timestamp,Arduino_Time,contact,delta_X,delta_Y,Sync_Time,Simple_Time
2025-12-12 10:36:46.389270,358194380,96,0,0,2025-12-12 10:42:46.946295738,2025-12-12 10:42:44.583650
2025-12-12 10:36:46.390276,358196024,98,0,0,2025-12-12 10:42:46.947942019,2025-12-12 10:42:44.585294
2025-12-12 10:36:46.391269,358197672,96,0,0,2025-12-12 10:42:46.949592352,2025-12-12 10:42:44.586942
2025-12-12 10:36:46.392257,358199320,94,0,0,2025-12-12 10:42:46.951242924,2025-12-12 10:42:44.588590
2025-12-12 10:36:46.394273,358200964,94,0,0,2025-12-12 10:42:46.952889204,2025-12-12 10:42:44.590234
2025-12-12 10:36:46.395264,358202612,98,0,0,2025-12-12 10:42:46.954539537,2025-12-12 10:42:44.591882
2025-12-12 10:36:46.395264,358204252,96,0,0,2025-12-12 10:42:46.956182003,2025-12-12 10:42:44.593522
2025-12-12 10:36:46.396606,358205900,98,0,0,2025-12-12 10:42:46.957832336,2025-12-12 10:42:44.595170
2025-12-12 10:36:46.397347,358207548,94,0,0,2025-12-12 10:42:46.959482908,2025-12-12 10:42:44.596818
2025-12-12 10:36:46.398464,358209192,100,0,0,2025-12-12 10:42:46.961129189,2025-12-12 10:42:44.598462
2025-12-12 10:36:46.399479,358210892,98,0,0,2025-12-12 10:42:46.962831736,2025-12-12 10:42:44.600162
2025-12-12 10:36:48.367581,321472,120,-25,127,2025-12-12 10:36:48.552866697,2025-12-12 10:36:46.710742
2025-12-12 10:36:48.368581,323188,112,0,93,2025-12-12 10:36:48.554585218,2025-12-12 10:36:46.712458
2025-12-12 10:36:48.748567,324780,100,-1,2,2025-12-12 10:36:48.556179523,2025-12-12 10:36:46.714050
2025-12-12 10:36:48.749567,326332,84,0,2,2025-12-12 10:36:48.557733774,2025-12-12 10:36:46.715602
2025-12-12 10:36:48.749567,327816,80,0,2,2025-12-12 10:36:48.559220076,2025-12-12 10:36:46.717086
2025-12-12 10:36:48.750563,329296,70,0,2,2025-12-12 10:36:48.560702085,2025-12-12 10:36:46.718566
2025-12-12 10:36:48.750563,330772,76,0,2,2025-12-12 10:36:48.562180281,2025-12-12 10:36:46.720042
2025-12-12 10:36:48.750563,332252,74,0,2,2025-12-12 10:36:48.563662529,2025-12-12 10:36:46.721522
2025-12-12 10:36:48.751560,333732,82,0,2,2025-12-12 10:36:48.565144539,2025-12-12 10:36:46.723002
2025-12-12 10:36:48.751560,335220,84,0,2,2025-12-12 10:36:48.566634893,2025-12-12 10:36:46.724490
2025-12-12 10:36:48.752558,336696,102,0,2,2025-12-12 10:36:48.568112850,2025-12-12 10:36:46.725966
2025-12-12 10:36:48.752558,338236,112,0,2,2025-12-12 10:36:48.569655180,2025-12-12 10:36:46.727506
2025-12-12 10:36:48.753558,339768,108,0,2,2025-12-12 10:36:48.571189404,2025-12-12 10:36:46.729038
2025-12-12 10:36:48.753558,341308,130,0,1,2025-12-12 10:36:48.572731733,2025-12-12 10:36:46.730578
2025-12-12 10:36:48.753558,342840,126,0,3,2025-12-12 10:36:48.574265957,2025-12-12 10:36:46.732110
2025-12-12 10:36:48.756067,344380,122,0,1,2025-12-12 10:36:48.575808048,2025-12-12 10:36:46.733650
2025-12-12 10:36:48.757079,345912,100,0,2,2025-12-12 10:36:48.577342272,2025-12-12 10:36:46.735182
2025-12-12 10:36:48.757079,347452,82,0,2,2025-12-12 10:36:48.578884602,2025-12-12 10:36:46.736722
2025-12-12 10:36:48.758079,348932,86,0,2,2025-12-12 10:36:48.580366850,2025-12-12 10:36:46.738202
2025-12-12 10:36:48.758079,350420,80,0,2,2025-12-12 10:36:48.581856966,2025-12-12 10:36:46.739690
2025-12-12 10:36:48.758079,351900,76,0,1,2025-12-12 10:36:48.583338976,2025-12-12 10:36:46.741170
2025-12-12 10:36:48.759077,353388,84,0,2,2025-12-12 10:36:48.584829330,2025-12-12 10:36:46.742658
2025-12-12 10:36:48.759077,354868,84,0,2,2025-12-12 10:36:48.586311340,2025-12-12 10:36:46.744138
2025-12-12 10:36:48.760078,356348,102,0,3,2025-12-12 10:36:48.587793589,2025-12-12 10:36:46.745618
2025-12-12 10:36:48.760078,357884,112,0,2,2025-12-12 10:36:48.589331865,2025-12-12 10:36:46.747154
2025-12-12 10:36:48.761090,359420,120,0,2,2025-12-12 10:36:48.590869904,2025-12-12 10:36:46.748690
2025-12-12 10:36:48.761090,360960,110,0,3,2025-12-12 10:36:48.592412233,2025-12-12 10:36:46.750230
2025-12-12 10:36:48.765107,362492,118,0,1,2025-12-12 10:36:48.593946457,2025-12-12 10:36:46.751762
2025-12-12 10:36:48.765107,364028,112,0,2,2025-12-12 10:36:48.595484734,2025-12-12 10:36:46.753298
2025-12-12 10:36:48.766105,365564,102,0,3,2025-12-12 10:36:48.597023010,2025-12-12 10:36:46.754834
2025-12-12 10:36:48.766105,367100,86,0,1,2025-12-12 10:36:48.598561287,2025-12-12 10:36:46.756370
2025-12-12 10:36:48.766105,368584,76,0,3,2025-12-12 10:36:48.600047350,2025-12-12 10:36:46.757854
2025-12-12 10:36:48.767104,370068,70,0,3,2025-12-12 10:36:48.601533413,2025-12-12 10:36:46.759338
2025-12-12 10:36:48.767104,371548,74,0,1,2025-12-12 10:36:48.603015661,2025-12-12 10:36:46.760818
2025-12-12 10:36:48.767104,373036,74,0,3,2025-12-12 10:36:48.604505777,2025-12-12 10:36:46.762306
2025-12-12 10:36:48.768106,374516,96,0,2,2025-12-12 10:36:48.605988026,2025-12-12 10:36:46.763786
2025-12-12 10:36:48.768106,376004,90,-1,2,2025-12-12 10:36:48.607478142,2025-12-12 10:36:46.765274
2025-12-12 10:36:48.769104,377500,100,0,2,2025-12-12 10:36:48.608976364,2025-12-12 10:36:46.766770
2025-12-12 10:36:48.769104,379040,116,-1,3,2025-12-12 10:36:48.610518456,2025-12-12 10:36:46.768310
2025-12-12 10:36:48.769104,380592,134,0,2,2025-12-12 10:36:48.612072706,2025-12-12 10:36:46.769862
2025-12-12 10:36:48.770104,382132,122,0,2,2025-12-12 10:36:48.613615036,2025-12-12 10:36:46.771402
2025-12-12 10:36:48.770104,383664,128,0,3,2025-12-12 10:36:48.615149260,2025-12-12 10:36:46.772934
2025-12-12 10:36:48.771104,385204,122,0,2,2025-12-12 10:36:48.616691589,2025-12-12 10:36:46.774474
2025-12-12 10:36:48.774110,386736,122,0,2,2025-12-12 10:36:48.618225813,2025-12-12 10:36:46.776006
