frame,x,y
1,312,184
2,312,184
3,312,184
4,312,184
6,311,184
10,312,184
11,312,184
12,312,184
15,312,184
17,312,184
18,312,184
29,311,183
30,311,183
31,311,184
33,311,183
42,311,184
43,311,184
44,311,184
45,311,184
46,311,184
47,311,184
48,311,184
49,312,184
50,312,184
51,312,184
62,311,184
63,311,184
64,311,184
65,311,183
66,311,184
69,311,184
70,311,183
71,311,183
72,311,183
73,311,183
74,311,183
75,311,183
76,311,183
77,311,183
78,311,183
79,311,183
80,311,183
81,311,183
82,311,183
83,311,183
84,311,183
85,311,184
86,311,184
87,312,184
88,312,184
89,311,184
90,312,184
91,311,184
92,312,184
93,312,184
94,312,184
95,312,184
96,312,184
97,312,184
98,311,184
99,311,184
102,311,184
103,311,184
104,311,184
105,312,184
106,312,184
109,311,184
112,311,184
113,311,184
114,311,184
115,311,184
127,312,184
131,311,184
141,311,183
142,311,183
144,311,183
152,311,183
157,311,184
159,311,184
160,311,184
161,311,184
164,311,184
165,311,184
166,311,184
167,311,183
169,311,184
170,311,184
171,311,184
172,311,184
173,311,184
175,311,184
177,311,184
181,311,184
182,311,184
183,311,184
184,311,184
185,311,184
186,311,184
187,311,184
188,311,184
196,311,184
203,311,184
204,311,184
206,312,184
213,312,184
221,312,184
222,312,184
223,312,184
224,312,184
225,312,184
229,311,184
230,311,184
231,311,185
232,311,183
233,311,183
234,311,183
235,311,184
236,311,184
238,311,184
239,311,184
241,312,184
242,312,184
243,312,185
244,311,184
245,311,184
246,312,185
247,312,185
248,312,185
249,311,184
250,311,184
251,311,184
254,311,183
255,311,183
256,311,183
257,311,183
258,311,184
261,311,184
262,311,184
263,310,185
264,310,184
265,311,184
266,311,184
267,310,184
268,309,184
269,308,185
271,306,184
273,304,184
274,304,184
275,302,184
276,301,185
278,299,184
279,296,184
280,296,185
281,295,184
283,291,185
284,290,185
285,288,185
286,287,185
288,283,185
289,283,185
291,278,185
293,276,185
294,274,185
296,269,184
297,266,185
299,263,185
300,261,184
301,258,185
302,258,185
303,255,185
306,249,184
309,240,185
316,223,184
317,220,184
318,220,185
319,217,185
320,215,185
322,212,185
325,205,185
326,204,185
327,202,185
328,200,185
329,198,185
330,198,185
332,194,185
333,194,185
335,192,185
338,189,185
341,187,185
343,186,185
346,185,185
347,185,185
354,186,185
358,187,185
359,187,185
360,187,185
363,189,185
364,190,185
365,190,185
368,192,185
371,194,185
372,194,185
373,196,185
374,197,185
375,198,185
376,199,185
378,201,184
382,204,184
384,207,184
385,208,184
388,212,184
389,214,184
390,214,184
392,217,184
393,218,184
394,219,184
395,219,184
396,221,184
397,221,184
398,223,184
399,224,184
400,226,183
401,226,184
402,227,183
403,227,184
404,229,183
406,230,183
407,231,183
408,232,183
409,233,183
410,233,183
411,235,183
412,236,183
414,237,183
422,245,183
424,246,183
427,250,182
428,251,182
431,254,183
432,255,182
433,256,183
434,257,182
435,258,183
436,259,183
437,262,182
438,263,183
439,265,182
440,266,182
441,268,183
444,271,182
448,278,181
449,281,181
450,281,182
451,283,182
452,285,181
453,286,181
454,287,181
455,290,181
456,292,181
457,293,181
458,295,182
459,298,182
460,300,181
461,302,181
462,304,181
463,304,181
465,308,181
466,310,181
468,312,181
471,318,181
473,320,182
476,324,181
478,328,182
479,328,182
480,330,182
481,332,181
482,331,181
487,338,182
488,339,182
490,342,182
492,345,181
493,344,181
495,347,182
497,349,182
498,350,181
499,351,182
500,351,182
502,354,181
504,354,182
505,355,182
506,356,182
507,357,182
508,358,182
510,360,182
511,360,182
512,360,182
515,363,181
516,363,182
517,363,181
519,364,182
520,364,182
521,364,182
522,364,182
523,364,182
524,364,182
525,364,182
