Time,delta_X,delta_Y
12:00:20.778589,22,12
12:00:20.826579,101,38
12:00:20.873881,127,56
12:00:20.921867,127,79
12:00:20.970010,127,26
12:00:21.017870,127,-36
12:00:21.081930,99,-61
12:00:21.129805,-29,-108
12:00:21.177924,-30,-112
12:00:21.226377,-33,-55
12:00:21.274180,-70,0
12:00:21.337923,-72,83
12:00:21.386527,-33,127
12:00:21.434188,36,126
12:00:21.482271,105,119
12:00:21.530127,107,34
12:00:21.578363,127,-6
12:00:21.642162,122,-76
12:00:21.689572,60,-106
12:00:21.737602,25,-97
12:00:21.785717,-28,-92
12:00:21.834054,-121,-68
12:00:21.898342,-127,5
12:00:21.946174,-127,97
12:00:21.994352,-127,82
12:00:22.042196,-116,93
12:00:22.090677,-45,44
12:00:22.153531,51,50
12:00:22.201861,127,59
12:00:22.250162,127,26
12:00:22.297988,127,-6
12:00:22.345987,127,-37
12:00:22.393925,127,-8
12:00:22.458426,-127,49
12:00:22.506375,-127,-17
12:00:22.554286,-127,-100
12:00:22.602298,-127,-112
12:00:22.650134,-127,-58
12:00:22.714546,-127,-24
12:00:22.762128,-127,-2
12:00:22.810079,-127,0
12:00:22.858144,-127,0
12:00:22.905700,-89,0
12:00:23.369493,-2,-1
12:00:23.417594,-61,-33
12:00:23.465765,-113,-77
12:00:23.514015,-127,-119
12:00:23.561512,-127,-127
12:00:23.624942,-127,-127
12:00:23.673496,-127,-127
12:00:23.721798,-127,-103
12:00:23.769054,-127,-100
12:00:23.817078,-127,-88
12:00:23.865178,-127,-53
12:00:23.929249,-127,-6
12:00:23.977669,55,127
12:00:24.025654,127,127
12:00:24.072784,127,127
12:00:24.120649,49,127
12:00:24.184547,24,127
12:00:24.232629,127,-22
12:00:24.280497,6,-1
12:00:24.680429,0,6
12:00:24.729696,45,-9
12:00:24.777321,110,-5
12:00:24.840997,127,31
12:00:24.888777,127,45
12:00:24.937292,127,59
12:00:24.985150,127,66
12:00:25.032754,127,59
12:00:25.096859,127,77
12:00:25.144962,127,82
12:00:25.192884,127,112
12:00:25.241141,127,127
12:00:25.289019,127,115
12:00:25.337009,127,103
12:00:25.400317,127,82
12:00:25.448790,127,48
12:00:25.497166,127,19
12:00:25.544608,127,-4
12:00:25.592936,127,-39
12:00:25.656554,127,-57
12:00:25.704126,-18,-124
12:00:25.752666,-127,-127
12:00:25.801013,-127,-127
12:00:25.848537,-127,-127
12:00:25.912034,-127,-127
12:00:25.960171,-127,-95
12:00:26.008696,-127,0
12:00:26.056947,-127,6
12:00:26.104557,-127,10
12:00:26.152521,-127,-7
12:00:26.216378,-127,-86
12:00:26.264378,-127,-112
12:00:26.312323,-127,-92
12:00:26.360802,-127,-127
12:00:26.408945,-127,-127
12:00:26.472835,-127,-127
12:00:26.520948,-127,-127
12:00:26.568236,-82,-127
12:00:26.615974,-1,-127
12:00:26.664142,12,-127
12:00:26.712790,13,-62
12:00:26.776004,8,-18
12:00:26.920261,6,3
12:00:26.967867,26,33
12:00:27.015785,24,82
12:00:27.080587,23,127
12:00:27.127979,12,127
12:00:27.175541,0,127
12:00:27.223778,1,127
12:00:27.271764,-4,127
12:00:27.335719,-3,127
12:00:27.383822,-10,127
12:00:27.431352,24,127
12:00:27.479292,33,127
12:00:27.527095,27,127
12:00:27.591428,21,127
12:00:27.639533,13,127
12:00:27.687446,6,127
12:00:27.736154,1,117
12:00:27.784209,-7,63
12:00:27.831890,-3,56
12:00:27.895613,6,40
12:00:27.943457,6,31
12:00:27.992091,10,41
12:00:28.039970,23,56
12:00:28.088324,44,70
12:00:28.151098,41,62
12:00:28.199048,32,42
12:00:28.247269,6,10
12:00:28.295959,1,1
12:00:28.343804,-2,-4
12:00:28.391741,-20,-28
12:00:28.455659,-25,-19
12:00:28.503446,-53,-33
12:00:28.551619,-116,-37
12:00:28.598805,-127,-58
12:00:28.647337,-127,-68
12:00:28.711005,-127,-86
12:00:28.759312,-127,-88
12:00:28.807512,-127,-104
12:00:28.855603,-127,-81
12:00:28.902812,-127,-72
12:00:28.951752,-127,-62
12:00:29.015220,-127,-50
12:00:29.063237,-127,-50
12:00:29.111361,-127,-38
12:00:29.159090,-99,-9
12:00:29.206883,18,3
12:00:29.271210,91,24
12:00:29.318865,71,72
12:00:29.366962,127,43
12:00:29.414821,127,59
12:00:29.462896,127,68
12:00:29.510994,127,45
12:00:29.574803,127,31
12:00:29.622659,127,22
12:00:29.670559,127,1
12:00:29.719123,127,-18
12:00:29.766975,127,-32
12:00:29.831109,127,-28
12:00:29.879392,127,-43
12:00:29.926782,127,-47
12:00:29.974633,127,-46
12:00:30.022900,127,-46
12:00:30.086274,127,-60
12:00:30.135086,127,-71
12:00:30.182211,127,-55
12:00:30.230595,-82,-46
12:00:30.278902,-127,-7
12:00:30.326543,-127,20
12:00:30.390968,-127,55
12:00:30.438626,-127,82
12:00:30.486894,-127,78
12:00:30.534399,-127,68
12:00:30.582144,45,53
12:00:30.646223,127,43
12:00:30.694935,127,16
12:00:30.742088,127,-48
12:00:30.789993,82,-55
12:00:30.838682,-36,-39
12:00:30.886572,-98,-24
12:00:30.949975,-127,1
12:00:30.998001,-124,33
12:00:31.046480,-36,10
12:00:31.094685,-1,0
12:00:38.371024,-10,-17
