Time,delta_X,delta_Y
11:42:50.627862,127,127
11:42:50.675863,115,-127
11:42:50.724762,116,-127
11:42:50.788395,96,-92
11:42:50.835930,111,8
11:42:50.883883,109,53
11:42:50.931696,59,57
11:42:50.979682,-33,58
11:42:51.043877,-119,44
11:42:51.093270,-127,9
11:42:51.140496,-127,-49
11:42:51.188003,-127,-62
11:42:51.235716,-119,-39
11:42:51.283580,-10,-26
11:42:51.347556,31,-20
11:42:51.395615,81,-16
11:42:51.443392,74,41
11:42:51.491866,48,44
11:42:51.539599,17,24
11:42:51.603869,30,40
11:42:51.652291,24,33
11:42:51.700145,-15,23
11:42:51.748047,-84,27
11:42:51.795978,-69,7
11:42:51.844628,-74,-17
11:42:51.908176,-121,-53
11:42:51.956387,-127,-81
11:42:52.004655,-114,-80
11:42:52.051976,-13,-49
11:42:52.100504,33,-47
11:42:52.163914,68,-36
11:42:52.212062,97,-8
11:42:52.260705,90,21
11:42:52.307876,70,29
11:42:52.356555,53,50
11:42:52.404633,34,44
11:42:52.467992,17,50
11:42:52.516302,-2,34
11:42:52.563961,-37,35
11:42:52.611671,-79,37
11:42:52.660312,-88,23
11:42:52.724182,-109,27
11:42:52.771790,-115,-7
11:42:52.820134,-91,-53
11:42:52.867974,-37,-103
11:42:52.915595,-5,-84
11:42:52.963089,14,-55
11:42:53.027401,46,-42
11:42:53.075591,77,-34
11:42:53.123577,87,3
11:42:53.172068,62,62
11:42:53.219336,36,60
11:42:53.283699,42,61
11:42:53.331769,35,61
11:42:53.379334,31,51
11:42:53.427380,13,38
11:42:53.476312,-105,16
11:42:53.539065,-127,-17
11:42:53.587687,-127,-83
11:42:53.635320,-87,-100
11:42:53.683716,-19,-64
11:42:53.731941,30,-69
11:42:53.779153,73,-67
11:42:53.843097,70,-40
11:42:53.891144,71,-1
11:42:53.938873,81,23
11:42:53.987393,69,44
11:42:54.034417,48,57
11:42:54.098445,31,48
11:42:54.146725,8,14
11:42:54.195037,-7,2
11:42:54.242830,-46,18
11:42:54.291923,-43,13
11:42:54.339375,-20,20
11:42:54.403195,3,36
11:42:54.451250,15,19
11:42:54.499140,34,0
11:42:54.546780,105,-61
11:42:54.594902,103,-60
11:42:54.658533,102,-49
11:42:54.706948,124,-40
11:42:54.755467,109,-29
11:42:54.803350,100,-29
11:42:54.850894,106,-18
11:42:54.898731,124,-6
11:42:54.962857,127,2
11:42:55.010773,127,24
11:42:55.058639,87,24
11:42:55.106656,94,21
11:42:55.155029,124,33
11:42:55.218798,88,25
11:42:55.266518,33,9
11:42:55.314700,37,13
11:42:55.362046,91,24
11:42:55.410284,80,29
11:42:55.458607,127,96
11:42:55.522770,127,103
11:42:55.570795,127,81
11:42:55.618268,103,47
11:42:55.665947,54,44
11:42:55.714548,30,27
11:42:55.778441,8,6
11:42:55.826263,25,25
11:42:55.875010,49,39
11:42:55.921820,7,5
11:42:56.018368,-13,-11
11:42:56.081910,-30,-26
11:42:56.130675,-28,-17
11:42:56.178310,-22,-10
11:42:56.226051,-47,-23
11:42:56.274409,-87,-55
11:42:56.338205,-127,-85
11:42:56.386851,-127,-89
11:42:56.434097,-127,-75
